left_pupil,right_pupil,mean
5.929895401000977,7.223758697509766,6.5768270492553711
6.2584028244018555,6.251570224761963,6.2549865245819092
6.128873348236084,5.956545352935791,6.0427093505859375
6.288712978363037,6.038907051086426,6.1638100147247314
6.651493549346924,5.804276466369629,6.2278850078582764
6.768078327178955,5.836338996887207,6.3022086620330811
6.8858819007873535,5.793252944946289,6.3395674228668213
5.973306655883789,9.345231056213379,7.659268856048584
8.120511054992676,5.831952095031738,6.976231575012207
6.183940410614014,6.519416332244873,6.3516783714294434
